수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2024 - 수입금액(천$),2024 - 수입 증가율(%),2024 - 수출액(천$),2024 - 수출 증가율(%),2023 - 수입금액(천$),2023 - 수입 증가율(%),2023 - 수출액(천$),2023 - 수출 증가율(%),2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%)
119,파푸아뉴기니,"7,813",133,"-7,680",43,0.5,7.4,20.1,0.0,43,"호주(5,461)","중국(1,472)",일본(264),태국(134),이탈리아(113),대만(87),말레이시아(65),한국(43),인도(13),스페인(8),프랑스(8),영국(6),미국(4),인도네시아(3),싱가포르(2),네덜란드(1),홍콩(0),-,-,-,-,-,-,-,-,-,-,-,-,-,"7,813",31.4,133,"7,446.4","5,948",9.9,2,26.1,"5,414",49.4,1,125.8
120,아프가니스탄,"6,854",9,"-6,844",-,-,-,32.4,0.0,-,"중국(6,355)",튀르키예(319),인도(42),체코(33),독일(20),스페인(11),프랑스(3),일본(2),캐나다(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,854",24.4,9,"2,189.6","5,507",40.9,0,291.3,"3,910",-4.3,0,-79.8
121,코트디부아르,"6,601",100,"-6,501",54,0.8,11.1,5.8,0.0,52,중국(946),프랑스(717),기타국(685),아랍에미리트(368),미국(222),이탈리아(190),일본(182),독일(151),남아프리카공화국(150),인도(120),벨기에(57),폴란드(54),한국(54),영국(49),태국(48),브라질(40),네덜란드(37),홍콩(34),튀르키예(32),스페인(26),모로코(26),스웨덴(23),체코(18),포르투갈(18),대만(17),헝가리(14),핀란드(9),멕시코(9),루마니아(8),아일랜드(7),"6,601",10.8,100,441.5,"5,960",1.1,18,-64.0,"5,895",8.6,51,34.9
122,보츠와나,"7,530",11,"-7,520",-,-,15.5,52.7,0.0,-,"남아프리카공화국(6,959)",중국(464),호주(52),싱가포르(32),폴란드(4),프랑스(4),일본(3),인도(2),튀르키예(1),네덜란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,530",74.3,11,-96.3,"4,319",33.7,285,-21.9,"3,231",-22.2,364,-25.5
123,마다가스카르,"4,260",-,-,30,0.7,9.4,13.0,0.0,30,"중국(3,149)",독일(195),프랑스(145),남아프리카공화국(89),튀르키예(88),인도(83),그리스(51),한국(30),네덜란드(23),대만(8),태국(5),이탈리아(4),벨기에(3),폴란드(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,260",8.9,-,-,"3,912",17.2,1,-,"3,338",34.0,-,-
124,네팔,"4,830",1,"-4,829",19,0.4,14.8,17.9,0.0,19,"인도(3,828)",중국(862),태국(64),대만(21),한국(19),체코(7),일본(6),남아프리카공화국(3),말레이시아(2),프랑스(2),영국(2),싱가포르(2),독일(2),튀르키예(1),인도네시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,830",13.6,1,-94.6,"4,254",22.5,21,918.0,"3,472",-18.3,2,-12.9
125,잠비아,"7,301",244,"-7,057",24,0.3,13.1,-5.7,0.0,-,"독일(1,636)","일본(1,612)","남아프리카공화국(1,070)",미국(774),중국(634),아랍에미리트(351),영국(280),벨기에(125),덴마크(112),인도(96),이탈리아(95),튀르키예(50),프랑스(40),한국(24),체코(21),호주(19),싱가포르(18),대만(18),핀란드(17),폴란드(15),네덜란드(8),페루(8),홍콩(7),스웨덴(7),캐나다(7),스위스(6),파나마(6),탄자니아(4),브라질(4),포르투갈(4),"7,301",2.8,244,322.7,"7,102",-13.5,58,-67.9,"8,208",41.7,180,190.6
126,카메룬,"5,669",2,"-5,667",-,-,17.0,73.4,0.0,-,"중국(4,744)",프랑스(120),그리스(86),남아프리카공화국(83),독일(61),벨기에(44),튀르키예(41),스페인(41),미국(22),폴란드(11),이탈리아(11),일본(6),인도(6),영국(6),덴마크(4),브라질(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,669",150.5,2,-98.7,"2,263",20.1,132,387.4,"1,885",-22.2,27,55.4
127,짐바브웨,"4,789",15,"-4,774",-,-,11.7,-0.2,0.0,-,"남아프리카공화국(2,127)","중국(1,333)",아랍에미리트(519),독일(191),영국(166),홍콩(84),모리셔스(45),보츠와나(29),튀르키예(23),핀란드(23),미국(21),인도(14),태국(11),프랑스(7),스위스(7),모잠비크(7),벨기에(5),"버진아일랜드,영(4)",일본(3),아일랜드(2),케냐(2),포르투갈(2),네덜란드(1),체코(1),바레인(0),스페인(0),에스토니아(0),호주(0),베트남(0),나이지리아(0),"4,789",-1.2,15,-65.2,"4,850",0.8,43,84.6,"4,809",-1.7,24,"123,636.8"
128,마카오,"4,626",12,"-4,614",0,0.0,94.5,-46.3,0.0,18,"일본(4,254)",독일(99),중국(65),스페인(23),이탈리아(23),오스트리아(11),프랑스(11),홍콩(7),미국(6),영국(6),대만(3),체코(2),네덜란드(2),태국(1),폴란드(1),벨기에(0),한국(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,"4,626",-44.5,12,45.2,"8,342",-48.0,8,"7,647.2","16,049",198.3,0,-100.0
129,트리니다드토바고,"4,568",26,"-4,542",372,8.1,1.1,-0.8,0.0,285,"중국(1,429)",일본(599),한국(372),미국(312),멕시코(299),독일(236),태국(149),이탈리아(130),대만(122),영국(89),스페인(66),파나마(64),인도(59),폴란드(58),체코(23),말레이시아(17),인도네시아(17),루마니아(13),튀르키예(11),홍콩(10),캐나다(10),브라질(9),싱가포르(6),콜롬비아(5),스웨덴(4),헝가리(3),스위스(3),룩셈부르크(2),프랑스(2),아랍에미리트(2),"4,568",-18.8,26,-40.0,"5,625",21.3,44,"3,665.9","4,638",32.1,1,-97.9
130,세네갈,"2,906",387,"-2,519",0,0.0,15.6,49.8,0.0,0,모리셔스(494),미국(440),프랑스(414),독일(203),중국(203),아랍에미리트(96),그리스(62),벨기에(62),일본(53),남아프리카공화국(50),베트남(18),스페인(15),튀르키예(13),인도(10),네덜란드(8),스위스(8),캐나다(4),기타국(4),영국(4),이탈리아(4),포르투갈(3),이집트(3),불가리아(2),나이지리아(1),모로코(1),아르헨티나(1),폴란드(1),모리타니아(1),마카오(1),가나(1),"2,906",24.9,387,504.9,"2,327",79.7,64,370.3,"1,295",10.8,14,107.2
131,몰타,"2,657","1,321","-1,335",55,2.1,13.4,24.3,0.0,0,이탈리아(964),독일(401),영국(224),네덜란드(169),벨기에(119),폴란드(113),튀르키예(109),일본(76),아일랜드(74),그리스(72),중국(56),한국(55),프랑스(46),인도(32),스페인(27),미국(23),대만(22),말레이시아(15),스웨덴(13),키프로스(10),에스토니아(5),슬로바키아(5),라트비아(5),덴마크(5),베트남(3),홍콩(3),노르웨이(2),호주(1),스위스(1),오스트리아(1),"2,657",21.6,"1,321",-83.5,"2,185",27.1,"8,021",126.2,"1,720",3.6,"3,546",41.8
132,가이아나,"2,484",0,"-2,484",7,0.3,15.5,8.2,0.0,-,"중국(1,459)",미국(379),일본(211),대만(58),영국(55),브라질(45),멕시코(30),스웨덴(23),파나마(19),수리남(17),태국(17),네덜란드(15),튀르키예(13),이탈리아(13),인도(11),벨기에(9),트리니다드토바고(7),덴마크(7),한국(7),아랍에미리트(6),독일(5),홍콩(4),폴란드(4),캐나다(3),스위스(1),자메이카(1),남아프리카공화국(1),페루(1),포르투갈(0),프랑스(0),"2,484",-6.4,0,-98.1,"2,654",25.1,17,962.6,"2,122",41.7,2,-77.4
133,캄보디아,"2,405",12,"-2,393",19,0.8,60.7,145.3,0.0,73,중국(884),미국(670),태국(519),일본(113),폴란드(47),멕시코(24),독일(24),이탈리아(22),한국(19),인도(17),영국(15),슬로바키아(8),말레이시아(8),불가리아(4),스페인(4),싱가포르(2),대만(2),프랑스(1),체코(1),루마니아(1),스웨덴(1),헝가리(0),오스트리아(0),베트남(0),튀르키예(0),호주(0),포르투갈(0),네덜란드(0),벨기에(0),몰타(0),"2,405",207.8,12,-32.5,781,95.4,18,329.2,400,22.4,4,-95.0
134,부르키나파소,"1,933",8,"-1,925",9,0.5,11.7,6.4,0.0,-,미국(500),벨기에(95),남아프리카공화국(94),일본(92),독일(80),중국(80),이탈리아(74),프랑스(71),호주(55),네덜란드(54),캐나다(51),폴란드(32),튀르키예(31),태국(26),아랍에미리트(16),그리스(16),영국(14),이집트(12),덴마크(10),한국(9),시에라리온(5),싱가포르(4),멕시코(4),슬로바키아(4),가나(3),인도(2),스페인(1),말리(1),스웨덴(0),브라질(0),"1,933",-32.9,8,-11.4,"2,881",68.7,9,-75.8,"1,707",26.4,38,504.8
135,아이티,"1,480",1,"-1,479",-,-,-,-18.7,0.0,-,"중국(1,136)",미국(282),독일(21),태국(12),브라질(5),일본(2),프랑스(1),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,480",-3.2,1,-55.9,"1,528",-31.7,2,431.0,"2,239",11.0,0,-86.1
136,말리,"1,187",4,"-1,183",-,-,22.3,62.4,0.0,-,중국(405),벨기에(86),네덜란드(46),튀르키예(30),남아프리카공화국(28),프랑스(25),독일(18),인도(6),리투아니아(6),이탈리아(2),캐나다(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,187",-40.7,4,-81.1,"2,003",345.2,22,-21.1,450,-62.2,28,-46.9
137,니카라과,"6,772",180,"-6,592",160,2.4,11.7,6.9,0.0,103,"중국(2,211)","일본(1,577)",태국(819),미국(504),멕시코(347),브라질(256),인도(228),한국(160),남아프리카공화국(154),대만(115),이탈리아(62),독일(42),튀르키예(41),싱가포르(33),러시아연방(26),벨라루스(17),인도네시아(16),콜롬비아(12),말레이시아(11),영국(7),폴란드(6),프랑스(6),체코(6),슬로바키아(5),아르헨티나(5),오스트리아(5),베트남(4),스페인(3),코스타리카(2),캐나다(1),"6,772",15.0,180,5.5,"5,888",-0.7,171,-16.5,"5,926",6.1,205,154.6
138,투르크메니스탄,"4,870",49,"-4,821",10,0.2,-,13.2,0.0,10,"중국(1,840)","튀르키예(1,661)",독일(467),영국(162),체코(82),대만(26),프랑스(20),일본(17),한국(10),싱가포르(8),이탈리아(4),리투아니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,870",-14.8,49,"6,881.5","5,719",50.5,1,25.3,"3,801",28.0,1,-84.0
139,지부티,"4,653",6,"-4,647",-,-,-,150.0,0.0,-,"중국(4,264)",인도(227),독일(52),남아프리카공화국(24),프랑스(16),튀르키예(9),네덜란드(6),벨기에(2),말레이시아(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,653","1,529.7",6,-97.8,286,-61.7,289,-75.2,745,-50.4,"1,167","2,628.1"
140,라오스,"3,616",0,"-3,616",73,2.0,33.2,105.6,0.0,73,"중국(1,789)","태국(1,696)",한국(73),싱가포르(20),일본(17),영국(8),말레이시아(5),인도(2),오스트리아(2),호주(1),독일(1),벨기에(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,616",168.0,0,-89.0,"1,349",57.8,2,792.6,855,63.4,0,2.2
141,에스와티니,"3,018",1,"-3,017",-,-,-1.2,-1.6,0.0,-,"남아프리카공화국(3,010)",중국(7),독일(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,018",3.1,1,-98.2,"2,926",-6.1,31,18.0,"3,115",6.0,26,-21.9
142,가봉,"2,392",7,"-2,386",-,-,2.6,-14.7,0.0,-,"중국(1,087)",미국(174),프랑스(137),폴란드(121),남아프리카공화국(104),독일(68),인도(53),튀르키예(42),벨기에(37),스페인(37),대만(28),싱가포르(25),네덜란드(21),태국(12),이탈리아(8),포르투갈(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,392",-32.0,7,-37.4,"3,520",7.0,10,100.6,"3,288",61.6,5,-33.7
143,뉴캘러도니아,"2,127",1,"-2,126",13,0.6,-,40.6,0.0,13,프랑스(502),독일(169),이탈리아(144),벨기에(90),중국(66),미국(40),폴란드(37),네덜란드(32),일본(24),호주(22),영국(17),한국(13),말레이시아(11),튀르키예(10),싱가포르(9),태국(5),헝가리(3),스페인(0),-,-,-,-,-,-,-,-,-,-,-,-,"2,127",-1.7,1,-94.2,"2,164",101.0,16,136.4,"1,077",4.6,7,"1,232.0"
144,폴리네시아(프),"2,109",1,"-2,108",32,1.5,7.4,17.7,0.0,13,기타국(787),프랑스(92),중국(72),독일(60),이탈리아(59),폴란드(37),에스토니아(36),미국(34),한국(32),일본(21),스페인(20),체코(19),태국(14),호주(11),영국(11),인도(11),뉴질랜드(10),브라질(7),튀르키예(7),헝가리(6),네덜란드(6),벨기에(5),포르투갈(5),싱가포르(4),멕시코(2),대만(2),루마니아(2),말레이시아(2),슬로바키아(1),인도네시아(0),"2,109",-5.2,1,"2,193.8","2,225",46.1,0,-,"1,523",0.4,-,-
145,바베이도스,"1,900",1,"-1,899",4,0.2,5.4,7.1,0.0,-,미국(623),일본(190),싱가포르(171),영국(155),인도네시아(113),중국(102),대만(101),독일(83),브라질(66),파나마(49),인도(39),멕시코(36),홍콩(17),헝가리(14),트리니다드토바고(8),태국(7),아랍에미리트(6),그리스(5),마샬 제도(4),한국(4),폴란드(3),세인트루시아(2),프랑스(2),에스토니아(2),슬로바키아(1),덴마크(1),이탈리아(1),말레이시아(1),네덜란드(1),벨기에(1),"1,900",3.3,1,-87.7,"1,840",11.1,6,157.7,"1,656",16.6,2,51.1
146,벨리즈,"1,616",11,"-1,605",7,0.4,19.0,16.8,0.0,-,"미국(1,254)",중국(125),파나마(70),멕시코(30),태국(24),영국(24),과테말라(21),아랍에미리트(16),스위스(8),한국(7),일본(5),프랑스(4),남아프리카공화국(3),벨기에(3),아일랜드(3),독일(3),이탈리아(2),홍콩(2),캐나다(1),대만(1),인도(1),네덜란드(0),브라질(0),-,-,-,-,-,-,-,"1,616",26.9,11,97.3,"1,273",7.6,6,191.3,"1,183",46.9,2,-90.6
147,바하마,"1,602",8,"-1,594",0,0.0,12.1,11.9,0.0,0,"독일(1,161)",미국(284),중국(98),브라질(4),일본(3),영국(1),헝가리(1),한국(0),캐나다(0),인도네시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,602",-2.8,8,-20.1,"1,649",28.9,10,267.3,"1,279",2.9,3,51.1
148,콩고,"1,558",0,"-1,558",-,-,-2.7,0.7,0.0,-,중국(979),프랑스(118),독일(39),벨기에(38),튀르키예(28),그리스(22),남아프리카공화국(16),네덜란드(15),브라질(12),스웨덴(9),인도(7),미국(5),일본(4),태국(1),말레이시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,558",6.0,0,-7.1,"1,471",-4.2,0,-94.5,"1,535",-24.2,8,25.2
149,소말리아,"1,482",-,-,-,-,-,14.1,0.0,-,인도(758),중국(426),체코(54),미국(39),이탈리아(38),튀르키예(27),독일(13),일본(9),네덜란드(5),대만(0),태국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,482",9.2,-,-,"1,357",19.4,2,-83.2,"1,137",-23.3,11,"8,982.2"
150,세이셸,"1,407",0,"-1,407",5,0.4,11.5,16.0,0.0,-,아랍에미리트(703),인도(166),남아프리카공화국(124),일본(95),싱가포르(65),중국(63),영국(55),태국(20),미국(16),네덜란드(14),모리셔스(12),프랑스(8),이탈리아(7),독일(5),한국(5),헝가리(4),폴란드(3),말레이시아(3),홍콩(2),덴마크(2),러시아연방(1),아일랜드(1),벨기에(1),에스토니아(1),인도네시아(1),스페인(1),에콰도르(0),케냐(0),불가리아(0),터크스케이커스제도(0),"1,407",23.8,0,-99.9,"1,136",8.7,6,48.5,"1,045",39.4,4,398.4
151,피지,"1,340",11,"-1,329",20,1.5,3.0,-4.8,0.0,38,호주(404),중국(319),일본(146),싱가포르(132),뉴질랜드(90),말레이시아(80),태국(41),대만(34),홍콩(24),한국(20),독일(14),인도네시아(11),미국(9),인도(5),에스토니아(2),영국(0),프랑스(0),튀르키예(0),폴란드(0),-,-,-,-,-,-,-,-,-,-,-,"1,340",-26.1,11,164.4,"1,815",22.8,4,862.2,"1,478",29.7,0,-88.9
152,말라위,"1,313",1,"-1,311",29,2.2,3.4,89.7,0.0,-,남아프리카공화국(388),일본(349),태국(187),중국(154),인도(63),아랍에미리트(31),한국(29),포르투갈(22),인도네시아(20),독일(19),체코(7),이탈리아(6),벨기에(4),영국(3),말레이시아(2),프랑스(2),미국(2),싱가포르(2),폴란드(2),스위스(2),튀르키예(1),홍콩(1),스페인(1),탄자니아(1),네덜란드(1),아르헨티나(1),세네갈(0),캐나다(0),베트남(0),필리핀(0),"1,313",24.5,1,771.0,"1,054",189.1,0,-73.6,365,-69.2,1,-97.1
153,페로 제도,"1,240",17,"-1,224",-,-,-,4.8,0.0,-,덴마크(615),벨기에(3),스웨덴(2),네덜란드(0),스페인(0),포르투갈(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,240",-30.1,17,-83.2,"1,775",57.2,99,20.3,"1,129",-40.7,82,209.3
154,라이베리아,"1,050",1,"-1,049",-,-,-,39.4,0.0,-,튀르키예(504),중국(324),벨기에(33),인도(32),영국(31),미국(19),남아프리카공화국(17),네덜란드(12),프랑스(8),독일(5),말레이시아(3),일본(2),오스트리아(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,050",43.0,1,-,735,35.8,-,-,541,1.3,0,-
155,토고,942,842,-100,-,-,44.0,57.1,0.0,-,중국(273),남아프리카공화국(108),독일(105),프랑스(96),일본(62),벨기에(27),이탈리아(26),태국(24),튀르키예(17),아랍에미리트(9),인도(5),폴란드(4),멕시코(3),영국(2),네덜란드(1),포르투갈(1),가나(0),-,-,-,-,-,-,-,-,-,-,-,-,-,942,46.6,842,"12,267.7",642,68.3,7,-72.0,382,-13.4,24,-
156,모리타니아,832,0,-832,-,-,104.1,-26.6,0.0,-,미국(322),프랑스(65),벨기에(58),중국(43),튀르키예(41),일본(14),호주(8),네덜란드(8),이탈리아(7),인도(7),폴란드(7),남아프리카공화국(5),리투아니아(2),스웨덴(1),태국(1),스페인(1),독일(0),-,-,-,-,-,-,-,-,-,-,-,-,-,832,-18.1,0,-82.3,"1,016",-34.3,1,220.0,"1,545",4.3,0,-70.4
157,레소토,809,10,-799,-,-,-10.0,1.6,0.0,-,남아프리카공화국(720),중국(54),보츠와나(34),일본(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,809,12.6,10,-91.0,719,-8.4,114,77.6,784,29.3,64,13.7
158,카보베르데,796,0,-795,2,0.3,15.8,61.7,0.0,-,포르투갈(350),세네갈(146),중국(23),브라질(17),아랍에미리트(13),미국(11),튀르키예(7),이탈리아(5),네덜란드(4),한국(2),독일(2),스페인(2),폴란드(1),프랑스(1),에스토니아(1),남아프리카공화국(1),기타국(1),나이지리아(1),벨기에(0),영국령 인도양 지역(0),모로코(0),-,-,-,-,-,-,-,-,-,796,11.4,0,-89.8,714,134.6,1,2.0,304,-28.2,1,112.3
159,차드,756,5,-750,-,-,-,63.0,0.0,-,중국(470),프랑스(122),튀르키예(34),체코(2),독일(1),남아프리카공화국(0),영국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,756,-14.1,5,-,880,209.4,-,-,285,71.1,-,-
160,그레나다,716,0,-716,-,-,6.2,5.3,0.0,-,미국(470),일본(64),중국(47),트리니다드토바고(38),아랍에미리트(34),영국(17),북한(10),캐나다(10),자메이카(7),세인트루시아(5),홍콩(4),세인트빈센트(3),파나마(3),태국(2),인도(1),에스토니아(1),멕시코(0),헝가리(0),네덜란드(0),기타국(0),독일(0),가이아나(0),도미니카(0),-,-,-,-,-,-,-,716,-13.7,0,-78.9,830,28.6,1,"1,373.8",646,14.5,0,-65.7
161,부탄,710,1,-709,2,0.2,-,11.6,0.0,2,인도(695),일본(7),태국(3),싱가포르(3),한국(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,710,42.2,1,-,499,-12.5,-,-,570,-10.9,-,-
162,버뮤다,658,1,-657,2,0.3,14.4,19.2,0.0,-,미국(321),영국(102),중국(30),폴란드(21),독일(19),일본(15),헝가리(13),네덜란드(12),트리니다드토바고(8),프랑스(8),이탈리아(5),인도(3),바베이도스(3),말레이시아(2),한국(2),인도네시아(1),튀니지(0),세르비아(0),모로코(0),에리트레아(0),태국(0),-,-,-,-,-,-,-,-,-,658,36.6,1,-,482,4.0,-,-,463,8.5,-,-
163,수리남,646,3,-643,-,-,14.4,1.4,0.0,-,미국(210),태국(103),중국(44),파나마(38),네덜란드(34),싱가포르(17),독일(9),멕시코(7),일본(7),영국(6),스페인(6),튀르키예(4),벨기에(3),캐나다(3),대만(2),말레이시아(2),브라질(2),프랑스(1),남아프리카공화국(0),인도(0),-,-,-,-,-,-,-,-,-,-,646,-51.9,3,-70.6,"1,344",113.9,10,-94.7,628,52.4,186,"2,869.1"
164,세인트루시아,609,-,-,108,17.7,-12.0,21.5,0.0,108,미국(307),한국(108),중국(56),독일(36),일본(30),영국(9),헝가리(7),태국(7),오스트리아(2),벨기에(0),인도(0),인도네시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,609,12.0,-,-,544,31.8,-,-,413,21.8,-,-
165,퀴라소,605,0,-604,5,0.9,-,13.2,0.0,5,미국(175),독일(149),브라질(31),네덜란드(22),중국(21),덴마크(13),한국(5),호주(1),헝가리(1),폴란드(0),인도네시아(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,605,0.6,0,-,601,27.4,-,-,472,45.5,1,106.2
166,베냉,576,1,-575,-,-,2.1,2.9,0.0,-,중국(237),프랑스(76),벨기에(68),튀르키예(26),남아프리카공화국(16),인도(3),독일(2),대만(1),스웨덴(0),리투아니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,576,36.4,1,3.2,422,-22.4,1,428.6,544,-18.6,0,-83.4
167,안도라,522,4,-518,-,-,21.4,101.1,0.0,-,스페인(227),독일(17),영국(15),슬로베니아(3),프랑스(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,522,32.0,4,-97.0,396,206.4,134,"1,289.7",129,-21.0,10,-4.9
168,시에라리온,505,390,-114,-,-,-,13.0,0.0,-,중국(344),남아프리카공화국(39),인도(33),프랑스(7),네덜란드(6),미국(3),호주(3),독일(2),벨기에(2),튀르키예(2),루마니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505,-32.6,390,30.7,749,89.7,299,4.1,395,-18.0,287,123.6
169,그린란드,444,104,-340,-,-,-,94.8,0.0,-,덴마크(202),독일(10),네덜란드(7),미국(5),벨기에(1),중국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,444,-3.6,104,737.4,461,293.9,12,219.5,117,27.8,4,37.4
170,몰디브,299,-,-,1,0.2,9.0,22.0,0.0,1,중국(128),일본(39),인도(27),독일(20),미국(18),프랑스(13),스리랑카(8),홍콩(7),튀르키예(6),모리셔스(5),폴란드(4),영국(4),인도네시아(2),말레이시아(2),남아프리카공화국(2),아랍에미리트(2),이탈리아(2),대만(2),-,한국(1),싱가포르(0),시에라리온(0),스페인(0),에스토니아(0),호주(0),체코(0),캐나다(0),-,-,-,299,-14.6,-,-,350,74.2,2,412.2,201,10.3,0,25.0
171,아루바,236,2,-234,2,1.0,-18.6,-43.6,0.0,2,중국(57),브라질(52),미국(47),독일(29),태국(8),네덜란드(6),한국(2),폴란드(0),오스트리아(0),헝가리(0),인도(0),인도네시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236,-73.5,2,-9.0,890,19.8,2,121.1,743,-0.6,1,117.0
172,사모아 (서사모아),227,0,-227,-,-,-2.3,9.3,0.0,-,호주(85),뉴질랜드(74),중국(26),일본(21),태국(6),홍콩(5),미국(5),피지(4),인도네시아(0),아랍에미리트(0),싱가포르(0),미국령사모아(0),에스토니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,-29.2,0,-22.2,320,68.9,0,980.0,190,-35.6,0,-94.1
173,감비아,226,0,-225,-,-,35.5,101.2,0.0,-,독일(42),아랍에미리트(37),영국(36),인도(33),일본(10),폴란드(6),중국(5),네덜란드(5),세네갈(2),모로코(0),리투아니아(0),벨기에(0),미국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,148.7,0,-89.4,91,62.8,2,-,56,48.4,-,-
174,중앙아프리카공화국,211,0,-211,7,3.4,-14.5,17.2,0.0,7,이탈리아(58),일본(44),중국(36),한국(7),태국(7),네덜란드(1),아랍에미리트(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,35.3,0,-99.0,156,1.5,5,158.8,154,78.1,2,-
175,적도기니,198,0,-197,-,-,-,-30.3,0.0,-,중국(113),미국(49),이탈리아(9),프랑스(6),벨기에(1),남아프리카공화국(0),브라질(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198,-56.7,0,-97.4,457,12.4,5,-,406,293.6,-,-
176,동티모르 민주공화국,189,-,-,-,-,-,-28.3,0.0,-,중국(63),일본(51),말레이시아(43),인도네시아(18),태국(12),호주(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,-60.5,-,-,477,29.9,0,-,367,31.5,-,-
177,앤티가바부다,185,1,-184,0,0.2,-1.0,-3.1,0.0,2,미국(120),대만(20),일본(11),태국(7),트리니다드토바고(4),중국(2),영국(2),독일(1),이탈리아(1),도미니카공화국(1),인도(1),한국(0),헝가리(0),멕시코(0),프랑스(0),폴란드(0),베트남(0),-,-,-,-,-,-,-,-,-,-,-,-,-,185,-4.7,1,194.2,194,-1.6,0,107.4,197,28.0,0,-70.3
178,바누아투,179,-,-,27,15.3,-,29.3,0.0,27,호주(76),중국(55),한국(27),태국(10),일본(6),인도(2),프랑스(1),인도네시아(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,10.8,-,-,161,50.9,1,-96.3,107,-52.6,25,-
179,남수단,156,-,-,-,-,-,-10.7,0.0,-,중국(71),일본(59),덴마크(6),태국(6),프랑스(4),인도(0),튀르키예(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156,-55.8,-,-,353,80.6,-,-,195,-0.6,-,-
180,카이만제도,124,1,-123,-,-,-,32.9,0.0,-,미국(41),프랑스(5),네덜란드(2),일본(2),태국(2),독일(1),중국(0),멕시코(0),군소 외곽제도(0),헝가리(0),영국(0),폴란드(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,-38.9,1,-93.4,203,189.0,16,174.2,70,-16.9,6,-78.9
